Cari Burke:
Kellie Carr:
Mingming Feng:57194109471
Donald Gribbin:10639017100
Jerry Kreuze:24404975600
Sheldon Langsam:57189698101
James Penner:36523768400
Jack Ruhl:24296235300
Jagjit Saini:57146906500
Thomas Schultz:26421825700
Roger Tang:56955660400
Inna Voytsekhivska:
Todd Barkman:57203996789,6602513416
Wendy Beane:13406162300
Devin Bloom:24398378000
Tiffany Schriever Bloom:25951763200
Christine Byrd-Jacobs:57203898989,7005203739
Kathryn Docherty:8581808900
Jeremy Duncan:39061140800
Karim Essani:6603750149,55616995500
John Geiser:7004787068
Sharon Gill:57203219166,7202284872
Pamela Hoppe:7102653482
Charles Ide:7101992599
John Jellies:7004328493
Donald Kane:7101753354
David Karowe:6603124298
Terri Goss Kinzy:7003308420
Benjamin Koestler:55325990200,57205171460
Steven Kohler:7103067295
Cindy Linn:7006614843,56680046000
Yan Lu:55339475800
Stephen Malcolm:7101923944
Silvia Rossbach:6701482068
David Rudge:6603012547
Susan Stapleton:7006073381
Brian Tripp:7003551837
Maarten Vonhof:6603036046
Jian Yao:46961634100
Jacqueline Eng:36458139900
Dawn Anderson:56073758300
Elyse Connors:53863101300
Robert Wall Emerson:15836609000,57210109903
Dae Kim:55742923000,57198637681
Helen Lee:38561715000
Jennipher Wiebold:15838238900
Kelly Ackerson:24281368300
Elissa Allen:7202717601
Yvonne Ford:39361250200
Kelley Pattison:57190488954
Karen Schieman:57204002521
Lisa Singleterry:54390119300
Pamela Wadsworth:16744657000
Kuanchin Chen:7410239352
Bernard Han:7401726296
Bidyut Hazarika:55868528000
Mohammad Daneshvar Kakhki:57190395236,56582099100,57083983300
Pairin Katerattanakul:6603285786
Mohammadreza Mousavizadeh:56524440900
Muhammad Razi:6602730537
Alan Rea:7004718543,57206375879
Utkarsh Shrivastava:24776930300
Jiahe Song:56123613800
J Michael Tarn:7006709448
Said Abubakr:6701705134
Raja Aravamuthan:6603418082
Mike Farrell:
Dan Fleming:7201956974
Andy Kline:7006978049
Anthony Lyons:
Alexandra Pekarovicova:6701739046,55665862400
Dewei Qi:7102278411
James Springstead:23098514500
Qingliu Wu:40462678600
Qiang Yang:57207377583,57207377673
Brian Young:7402191856,57196470228
David Huffman:7102601126
Megan Grunert Kowalske:57198803761
Gellert Mezei:7003638571
John Miller:55700358700
Yirong Mo:7202961550,57204367029,57210723575
Guda Ramakrishna:7004117622,57203941726
Abdus Salam:57209091497
Elke Schoffers:6506955867
Donald Schreiber:7103248828
Ekkehard Sinn:7003322692
Frederick Stull:24473812600,56709557000
Kelly Teske:55770065900
Andre Venter:57206330804
Osama Abudayyeh:7004251417
Haluk Aktan:6701666266
Upul Attanayake:14071192500
Siddharth Bhandari:57190003433
Yufeng Hu:55533816800
Valerian Kwigizile:17344119100
Hexu Liu:53984550800
Jun-Seok Oh:7402155125
Xiaoyun Shao:8515540200
Houssam Toutanji:7004120790
Blair Balden:
Lori Brown:55469624400,57209122273
Kevin High:
Willem Homan:
Terry Michmerhuizen:6507075819
Greg Pinnell:
Vladimir Risukhin:57190488731
Geoff Whitehurst:56559825000
Lisa Whittaker:
William Rantz:36098329100
Alisa Perkins:56625592400
Cybelle Shattuck:
Rudolf Siebert:57000814600
Kevin J Wanner:36910319300
Brian C Wilson:56302753200
Ala Al-Fuqaha:6602329471
Shameek Bhattacharjee:7102306204
Elise de Doncker:7801395146,6504827279,57205584036,57105838900,
Alvis Fong:7004317340
Ajay Gupta:8354044800
Donna Kaminski:7102077624
John Kapenga:6507750429
Leszek Lilien:7003917186
Fahad Saeed:54959380100
Wuwei Shen:8870487100
Robert Trenary:6507747514
Li Yang comp:7409587967,57207354397
Zijiang James Yang:55716575100,57193354283,57209498918,57203821096,
Lina Sawalha:48661356200
Carla Adkison-Johnson:
Mary L Anderson:56443192600
Mary Z Anderson:7404765913
Samuel Beasley:55706059700
Stephanie Burns:26530785800,57200171995
Stephen Craig:55650675500
Jennifer Foster:56184327300
Alan Hovestadt:6701588613
Phillip Johnson:36484767600
Kelly McDonnell:35835868400,57193547882
Joseph Morris:23973201800,56333052400
Glinda Rawls:36150248500
Tangela Roberts:57007679600
Eric Sauer:7005051443
Beverly Vandiver:6602077317
Mark St Martin:57194428621
Jeremy Blair:
David Curwen:
Carlos Funn:
Sharon Garber:
Monique Haley:
Seyong Kim:
Whitney Moncrief:
Nina Nelson:
Kelsey Paschich:
Carolyn Pavlik:
Donald Alexander:7402830713
Eskander Alvi:6602350004
Sisay Asefa:7801622890
Matthew Higgins:7202135367
C James Hueng:6507424862,57204823050
William Kern:7202792373
Seong-Hee Kim:57196237395
Jean Kimmel:7006394399
Donald Meyer:7403571594
Christine Moser:7102765336
Debasri Mukherjee:16425949200
Jon Neill:7101827438
Susan Pozo:6603306583
Michael Ryan:55439021300
Mark Wheeler:7403129098
Huizhong Zhou:7404741797,57205200276
W Jason Beasley:
Brooks Applegate:7004428979,57207725113,57206894836
D Eric Archer:
Andrea Beach:57209015087,36558886100
Brett Geier:55944123800
June Gothberg:57201377563
Wanda Hadley:57194776857
Brian Horvitz:14071765300
Joseph Kretovics:
